name,category,physical_address,contact_email,contact_person
Accessories world,Vehicles Accessories,11 Posselt Avenue,accessories.world@supplier.local,Procurement Contact
Millenium Clean (Private) Limited,Vehicles Accessories,25 Watt Road New Ardbennie,millenium.clean.private.limited@supplier.local,Procurement Contact
Redan,Vehicle Fuel,"2 Northridge Close,Northridge Park,Borrowdale,Harare",redan@supplier.local,Procurement Contact
Total Zimbabwe,Vehicle Fuel,"1 Auckland Road, Southerton",total.zimbabwe@supplier.local,Procurement Contact
Eaglewise Investments t/a Apex Energies,Vehicle Fuel,"34 Princess drive, Harare",eaglewise.investments.t.a.apex.energies@supplier.local,Procurement Contact
Road Angels,Insurance & Towing,"23 Ceres Rd, Avondale",road.angels@supplier.local,Procurement Contact
Minerva,Insurance & Towing,"2 Kenilworth Rd, Newlands",minerva@supplier.local,Procurement Contact
Automobile Association Zimbabwe,Insurance & Towing,"2 Kenilworth Rd, Newlands",automobile.association.zimbabwe@supplier.local,Procurement Contact
Econet Connected cars No.,Insurance & Towing,"2 Old Mutare Road, Msasa",econet.connected.cars.no@supplier.local,Procurement Contact
Ecosure Mover No.,Insurance & Towing,"2 Old Mutare Road, Msasa",ecosure.mover.no@supplier.local,Procurement Contact
Solution Centre,Computer Hardware,"118 Enterprise Road, Highlands. Harare",solution.centre@supplier.local,Procurement Contact
iClik Shop,Computer Hardware,"14, Sam Levy's Village, Borrowdale, Harare",iclik.shop@supplier.local,Procurement Contact
Kenac,Computer Hardware,"277 Samora Machel Ave Eastlea, Harare",kenac@supplier.local,Procurement Contact
Nashua,Computer Hardware,"5 Edison Cresent, Graniteside Harare",nashua@supplier.local,Procurement Contact
Combined Technologies,Computer Hardware,9 Warren Close Greendale,combined.technologies@supplier.local,Procurement Contact
E Machines,Computer Hardware,"117 Ventersburg Road, Msasa, Harare",e.machines@supplier.local,Procurement Contact
Chips Computing T/A Pastel,Computer Software And Networking,1 Kwame Nkrumah Avenue Harare,chips.computing.t.a.pastel@supplier.local,Procurement Contact
Spectrum ITS,Computer Software And Networking,"250A CIPF Centre, 9th/10 Avenues, Bulawayo",spectrum.its@supplier.local,Procurement Contact
Integrated Digital Security Solution T/A Esset Zimbabwe,Computer Software And Networking,"6 Ashleigh Circle Mt Pleasant, Harare",integrated.digital.security.solution.t.a.esset.zimbabwe@supplier.local,Procurement Contact
Compulink,Computer Software And Networking,"33 Boscobel Drive East, Highlands, Harare",compulink@supplier.local,Procurement Contact
RDSL,Computer Software And Networking,"2nd Floor Adven House, Cnr Inez Terrace & R . Mugabe",rdsl@supplier.local,Procurement Contact
Liquid ZB Life Towers,Computer Software And Networking,"77 Jason Moyo Ave, Harare",liquid.zb.life.towers@supplier.local,Procurement Contact
ZOL Eastgate,Computer Software And Networking,"4th Floor Greenbridge, Sam Nujoma St, Harare",zol.eastgate@supplier.local,Procurement Contact
Axis Solutions,Computer Software And Networking,"14 Arundel Road, Alexandra Park, Harare",axis.solutions@supplier.local,Procurement Contact
Procomm Private Limited,Computer Software And Networking,8th Floor Pegasus House 52-54 Samora Machel Ave Harare Zimbabwe,procomm.private.limited@supplier.local,Procurement Contact
Fuser Technologies Pvt ltd,Computer Software And Networking,"3rd floor regal star house, G. Silundika Ave, Harare",fuser.technologies.pvt.ltd@supplier.local,Procurement Contact
Data Transfer Computers t/a Sai Systems,Computer Software And Networking,"33Lanark Road,Avondale, Harare",data.transfer.computers.t.a.sai.systems@supplier.local,Procurement Contact
Panasonic Business System Suite,Computer Software And Networking,"6, Katherine Court, 103 Nelson Mandela Street, Harare",panasonic.business.system.suite@supplier.local,Procurement Contact
Econet Shops No.,"Cell Phones, Tablets & Accessories","2 Old Mutare Road, Msasa",econet.shops.no@supplier.local,Procurement Contact
Spellbound,"Cell Phones, Tablets & Accessories","40 Kwame Nkrumah Avenue, New Africa House, Harare",spellbound@supplier.local,Procurement Contact
Saltis consulting T/A Cellplus,"Cell Phones, Tablets & Accessories","14 Silwood Close Chisipite, Harare",saltis.consulting.t.a.cellplus@supplier.local,Procurement Contact
African Sun Cnr. Norfolk Road/,Accommodation -hotels,870 Endeavor Crescent Mt Pleasant Park,african.sun.cnr.norfolk.road@supplier.local,Procurement Contact
Rainbow,Accommodation -hotels,"1 Pennefather Avenue, Samora Machel West Avenue, Harare",rainbow@supplier.local,Procurement Contact
Meikles Corner Jason Mayo &,Accommodation -hotels,3rd Street,meikles.corner.jason.mayo@supplier.local,Procurement Contact
Golden Peacock Villa,Accommodation -hotels,11177 Cnr. Feruka Road & Jeff Road Natvest Mutare,golden.peacock.villa@supplier.local,Procurement Contact
Mandel Training Centre P.O box MR,Accommodation-lodges,"163, Marlborough",mandel.training.centre.p.o.box.mr@supplier.local,Procurement Contact
Afro Lodge,Accommodation-lodges,9 Fife Avenue Harare,afro.lodge@supplier.local,Procurement Contact
Pandari Lodge,Accommodation-lodges,"16 Gainsville Dr, Glenlorne. Hre",pandari.lodge@supplier.local,Procurement Contact
SOS Village P.O Box W.,Accommodation-lodges,"272 Waterfalls, Harare",sos.village.p.o.box.w@supplier.local,Procurement Contact
The Village Lodge Gweru,Accommodation-lodges,,the.village.lodge.gweru@supplier.local,Procurement Contact
Amanzi Lodge,Accommodation-lodges,"1 Masasa Lane Kambanji, Harare",amanzi.lodge@supplier.local,Procurement Contact
Imvelo Safari Lodges,Accommodation-lodges,"68 Townsend Road, Surburbs, Bulawayo",imvelo.safari.lodges@supplier.local,Procurement Contact
Batoka Safaris,Accommodation-lodges,"44 Mahogany Road, Victoria Falls",batoka.safaris@supplier.local,Procurement Contact
The Pumpkin Hotel Stand #,Accommodation-lodges,"604,kotwa, Mudzi",the.pumpkin.hotel.stand@supplier.local,Procurement Contact
Nyamakwere Lodges Stand,Accommodation-lodges,370 Mutoko,nyamakwere.lodges.stand@supplier.local,Procurement Contact
Hala Africa Hotels,Accommodation-lodges,"61 R Mugabe rd, Bindura",hala.africa.hotels@supplier.local,Procurement Contact
Enopat Hotel,Accommodation-lodges,"14 Jenner Close Hospital hill, Mutare, Zimbabwe",enopat.hotel@supplier.local,Procurement Contact
"Cresta Lodge Samora Machel & R Mugabe, Msasa, Coronation Park",Conference Facilities/ Events Management,,cresta.lodge.samora.machel.r.mugabe.msasa.coronation.park@supplier.local,Procurement Contact
"Rest Haven Miracle Valley, Off Borrowdale Road. Harare",Conference Facilities/ Events Management,,rest.haven.miracle.valley.off.borrowdale.road.harare@supplier.local,Procurement Contact
Rooney's/Show masters,Conference Facilities/ Events Management,144 Seke Road Graniteside Harare,rooney.s.show.masters@supplier.local,Procurement Contact
"Dave's Events Bluffhill Industrial Park, Lorraine drive,Harare",Conference Facilities/ Events Management,,dave.s.events.bluffhill.industrial.park.lorraine.drive.harare@supplier.local,Procurement Contact
"Zesa Training Centre Ganges Rd, Belvedere,Harare",Conference Facilities/ Events Management,,zesa.training.centre.ganges.rd.belvedere.harare@supplier.local,Procurement Contact
Stephen Margolis Resort (Private) Limited Stand,Conference Facilities/ Events Management,"625 Stephen Margolis Road Derbyshire, Waterfalls, Harare",stephen.margolis.resort.private.limited.stand@supplier.local,Procurement Contact
Chameneon Transtobac Industrial Park,Conference Facilities/ Events Management,"130 Hillside Extention Road, Msasa, Harare.",chameneon.transtobac.industrial.park@supplier.local,Procurement Contact
Manna Resort,Conference Facilities/ Events Management,690 Glenwood Drive Glen Lorne Harare,manna.resort@supplier.local,Procurement Contact
Star Leadership Academy,Conference Facilities/ Events Management,"2 Hugh William Drive, Chishawasha, Harare",star.leadership.academy@supplier.local,Procurement Contact
First Pack,Stationery,127 Masocha Ndlovu Way Cnr Seke Road Hatfield Harare,first.pack@supplier.local,Procurement Contact
Gainsborough Stationers,Stationery,89A L.Takawira Street CBD Harare,gainsborough.stationers@supplier.local,Procurement Contact
Bamm Stationers,Stationery,"35 Bishop Gaul Ave, The Kopje, Harare",bamm.stationers@supplier.local,Procurement Contact
Secondary Books Press,Stationery,"4th floor CABS Center , Harare",secondary.books.press@supplier.local,Procurement Contact
Anchor Stationery Shop,Stationery,53 Nelson Mandela Avenue,anchor.stationery.shop@supplier.local,Procurement Contact
Electrosales Hardware Gate,"Electrical Accessories, Solar Energy & Gas",1 Power Ppeed Complex Kelvin Rd North/Cripps Road Graniteside,electrosales.hardware.gate@supplier.local,Procurement Contact
Onel Electrical Engineers,"Electrical Accessories, Solar Energy & Gas",329 Affirmative Waybay 4 Willowvale Industries,onel.electrical.engineers@supplier.local,Procurement Contact
Tendo Electronics,"Electrical Accessories, Solar Energy & Gas",21 Birmingham Road Southerton,tendo.electronics@supplier.local,Procurement Contact
Kamatech Projects,"Electrical Accessories, Solar Energy & Gas","5 Watermeyer Lincholn Green, Belvedere, Harare",kamatech.projects@supplier.local,Procurement Contact
Speartec Electrical Suite,"Electrical Accessories, Solar Energy & Gas","10 3D Centre Strathaven, Harare",speartec.electrical.suite@supplier.local,Procurement Contact
Generator Services Bulawayo,"Electrical Accessories, Solar Energy & Gas","2B Doncaster St Fife Street Extension, Bulawayo",generator.services.bulawayo@supplier.local,Procurement Contact
Clytec Services Suite,"Electrical Accessories, Solar Energy & Gas",35 Trecarrel Place 87 Central Avenue,clytec.services.suite@supplier.local,Procurement Contact
Wonder Gas,"Electrical Accessories, Solar Energy & Gas","1 Argyll Drive, Newlands, Harare",wonder.gas@supplier.local,Procurement Contact
ENERMAX PRIVATE LTD,"Electrical Accessories, Solar Energy & Gas","36 DAN JUDSON ROAD , MILTON PARK",enermax.private.ltd@supplier.local,Procurement Contact
Mickage Investments,"Electrical Accessories, Solar Energy & Gas","31 Tweed Road,Eastlea,Harare,Zimbabwe",mickage.investments@supplier.local,Procurement Contact
TM Supermarket/Pick&Pay Westgate Shopping Complex Westgate Harare,"Foodpacks, Teas And Cleaning",,tm.supermarket.pick.pay.westgate.shopping.complex.westgate.harare@supplier.local,Procurement Contact
Gain Cash and Carry,"Foodpacks, Teas And Cleaning","10 Stirling Road, Workington, Harare",gain.cash.and.carry@supplier.local,Procurement Contact
N. Richards (NRG) Stand No.,"Foodpacks, Teas And Cleaning","16995 Sande Crescent Graniteside, Harare",n.richards.nrg.stand.no@supplier.local,Procurement Contact
"Proton Bakers Sheffield Rd, Marondera","Foodpacks, Teas And Cleaning",,proton.bakers.sheffield.rd.marondera@supplier.local,Procurement Contact
AMP Meats,"Foodpacks, Teas And Cleaning",1 Coventry Road Colcom Complex,amp.meats@supplier.local,Procurement Contact
"Sunspan Fruit and Vegetables Corner Hobbs and Plymouth Road, Southerton, Harare","Foodpacks, Teas And Cleaning",,sunspan.fruit.and.vegetables.corner.hobbs.and.plymouth.road.southerton.harare@supplier.local,Procurement Contact
"Koala Park Butchery and Abattoir Fort Concrete Premises, Seke Rd, Harare, Zimbabwe, Harare","Foodpacks, Teas And Cleaning",,koala.park.butchery.and.abattoir.fort.concrete.premises.seke.rd.harare.zimbabwe.harare@supplier.local,Procurement Contact
Square Deal,"Foodpacks, Teas And Cleaning","27C Cripps Road,Graniteside ,Harare",square.deal@supplier.local,Procurement Contact
Mega Save,"Foodpacks, Teas And Cleaning",73 Glenara Ave Harare,mega.save@supplier.local,Procurement Contact
SIMRAC Enterprises,"Foodpacks, Teas And Cleaning","20 Scanlane Road, Kadoma",simrac.enterprises@supplier.local,Procurement Contact
Dicomm,Photography And Video Filming,"25, Lawson Ave, Milton Park,Harare",dicomm@supplier.local,Procurement Contact
Dreamflux,Photography And Video Filming,"2 Luangwa Terrace 145 Chinamano Avenue, Harare",dreamflux@supplier.local,Procurement Contact
Digsol Media Office Block,Photography And Video Filming,"2, Suite 14, Long Chng Plaza, Harare",digsol.media.office.block@supplier.local,Procurement Contact
Hype Nation,Photography And Video Filming,"215 Chitepo Heights, avenues , Harare",hype.nation@supplier.local,Procurement Contact
OC Media,Photography And Video Filming,"46 Nkwame Nkuruma, Law Society House, Harare, Zimbabwe",oc.media@supplier.local,Procurement Contact
Sound Kalcha Shop I and J,Photography And Video Filming,"1stfloor Ascot Racecourse,Bulawayo",sound.kalcha.shop.i.and.j@supplier.local,Procurement Contact
Creative Pot Africa,Photography And Video Filming,"4115 Nketa 7, Bulawayo",creative.pot.africa@supplier.local,Procurement Contact
Magsman Media,Photography And Video Filming,"44 Honde Road,New Mabvuku,Harare",magsman.media@supplier.local,Procurement Contact
Lionel Studios,Photography And Video Filming,11 Ringronne Chitepo Ave Hre,lionel.studios@supplier.local,Procurement Contact
Naledi Productions,Photography And Video Filming,,naledi.productions@supplier.local,Procurement Contact
Dalitso Media,Photography And Video Filming,"4280 Tsvorisvitso, Masvingo",dalitso.media@supplier.local,Procurement Contact
Printworks,Printing Services,"10 Kelvin Road South, Graniteside., Harare",printworks@supplier.local,Procurement Contact
Design @,Printing Services,"7 70 Mutare Road, Masasa",design@supplier.local,Procurement Contact
Impressions Graphic Designs,Printing Services,"823 X Prospect Ave, Bulawayo",impressions.graphic.designs@supplier.local,Procurement Contact
Rockingrat Digital Printing,Printing Services,"6 Brentford Road, Ballantyne, Harare",rockingrat.digital.printing@supplier.local,Procurement Contact
The Asset label Company Unit,Printing Services,"1 - First Flootr Mallis Court, Harare",the.asset.label.company.unit@supplier.local,Procurement Contact
"Sable Press Bluffhill Business Park,Unit",Printing Services,"20, 21 & 22, P O Box M170, Mabelreign, Harare",sable.press.bluffhill.business.park.unit@supplier.local,Procurement Contact
Pipe Masters,Facilities Refurbishments & Repairs,55 Marlborough Drive Harare,pipe.masters@supplier.local,Procurement Contact
Solar Shack,Facilities Refurbishments & Repairs,"21 Glenara Avenue, Eastlea",solar.shack@supplier.local,Procurement Contact
Manah Construction Ruwa,Facilities Refurbishments & Repairs,21629 Tarisa Road Damofalls,manah.construction.ruwa@supplier.local,Procurement Contact
Helensvale Construction,Facilities Refurbishments & Repairs,"65 Sam Nunjoma Street, Harare",helensvale.construction@supplier.local,Procurement Contact
Mlandelly Investments,Facilities Refurbishments & Repairs,"75 Kwame Nkrumah, Harare",mlandelly.investments@supplier.local,Procurement Contact
Archciv Technical Services,Facilities Refurbishments & Repairs,"52 Remuera Road, Spitzkop Harare",archciv.technical.services@supplier.local,Procurement Contact
"Spickform Enterprises MK3 Westgate Complex, Harare",Facilities Refurbishments & Repairs,,spickform.enterprises.mk3.westgate.complex.harare@supplier.local,Procurement Contact
Praise Construction No,Facilities Refurbishments & Repairs,"2 Speke Avenue 108 Margolis Plaza, Kopje Harare, Zimbabwe",praise.construction.no@supplier.local,Procurement Contact
Heberts Construction,Facilities Refurbishments & Repairs,"134 Willowvale Road, Harare",heberts.construction@supplier.local,Procurement Contact
Scenic Gardens,Facilities Refurbishments & Repairs,"12 Trail Road , Mt Pleasant, Harare",scenic.gardens@supplier.local,Procurement Contact
Jackson Munyeza Pools & Construction,Facilities Refurbishments & Repairs,"95 Mutare Road, Msasa, Harare",jackson.munyeza.pools.construction@supplier.local,Procurement Contact
SMART METERING (PRIVATE) LIMITED,Facilities Refurbishments & Repairs,"137 Shortstone, Waterfalls, Harare",smart.metering.private.limited@supplier.local,Procurement Contact
Almac Plumbers (PVT) LTD,Facilities Refurbishments & Repairs,172 Samora Machel,almac.plumbers.pvt.ltd@supplier.local,Procurement Contact
Commercial and Industrial Holdings Limited,Facilities Refurbishments & Repairs,"4 Wolverhampton Road, Donnington, Bulawayo",commercial.and.industrial.holdings.limited@supplier.local,Procurement Contact
Santaw Engineering Works Stand No,Facilities Refurbishments & Repairs,"1128/9 Tynwald Industrials ,Harare",santaw.engineering.works.stand.no@supplier.local,Procurement Contact
A M Machado,Facilities Refurbishments & Repairs,"15 Neil Ave, Msasa, Harare",a.m.machado@supplier.local,Procurement Contact
Corry & Mukuyu,Quantity Surveyors,"353 Samora Machel, Harare",corry.mukuyu@supplier.local,Procurement Contact
TN Zunzanyika Associates,Quantity Surveyors,"1628 Bauhinia Drive Westgate, Harare",tn.zunzanyika.associates@supplier.local,Procurement Contact
MAS Quantity Surveyors Partnership,Quantity Surveyors,"1 Kamil Court, Hebert Chitepo, Harare",mas.quantity.surveyors.partnership@supplier.local,Procurement Contact
Studio Five,Quantity Surveyors,5 Chaifont Rd Greencroft Harare,studio.five@supplier.local,Procurement Contact
Agnot Consulting,Quantity Surveyors,"2785 Princess Margaret Road, Marlborough. Harare",agnot.consulting@supplier.local,Procurement Contact
Design Pro,Quantity Surveyors,"12th floor, Northwing, Joina City, Harare",design.pro@supplier.local,Procurement Contact
Pearce Mccomish Tarabuku Architects,Quantity Surveyors,157 Josiah Chinamano,pearce.mccomish.tarabuku.architects@supplier.local,Procurement Contact
Optional Air,Facilities Maintenance,"22 Simon Mazorodze Road, Harare",optional.air@supplier.local,Procurement Contact
Creative Blinds,Facilities Maintenance,"73 Douglas Rd, Workington, Harare",creative.blinds@supplier.local,Procurement Contact
Venetian Blinds,Facilities Maintenance,170 Kwame Nkrumah Avenue Between Seventh/ Eigth Avenue Harare.,venetian.blinds@supplier.local,Procurement Contact
Eezii Pool,Facilities Maintenance,"31 Harare Drive, Borrowdale, Harare",eezii.pool@supplier.local,Procurement Contact
Christomak Engineering Pvt Ltd Office,Facilities Maintenance,22 Big Mall Bishop Gaul Avenue,christomak.engineering.pvt.ltd.office@supplier.local,Procurement Contact
Webcal Air,Facilities Maintenance,"22 Antony Avenue Msasa, Harare",webcal.air@supplier.local,Procurement Contact
KB Locksmith services ( Pvt ) Ltd,Facilities Maintenance,"4 Forest Road, Arundel Village",kb.locksmith.services.pvt.ltd@supplier.local,Procurement Contact
Halsteads,Hardware,1 Douglas Road Workington Harare,halsteads@supplier.local,Procurement Contact
Union Hardware,Hardware,"8 Burnley Road, Workington,Harare",union.hardware@supplier.local,Procurement Contact
Hardware Stores,Hardware,"80/82 Cameron Street, Harare",hardware.stores@supplier.local,Procurement Contact
Image Magic,Corporate Wear,"103 Broadlands Rd, Emerald Hill, Harare",image.magic@supplier.local,Procurement Contact
James North,Corporate Wear,6 George Avenue Msasa Harare.,james.north@supplier.local,Procurement Contact
"Kingsport Investments Corner Chinhoyi and Grant Street, Harare",Corporate Wear,,kingsport.investments.corner.chinhoyi.and.grant.street.harare@supplier.local,Procurement Contact
Enbee Stores,Corporate Wear,"64 Leopold Takawira, Harare",enbee.stores@supplier.local,Procurement Contact
Reshow Investments No.,Corporate Wear,"55, Corner Herbert Chitepo / Rekai Tangwena, Harare, Zimbabwe",reshow.investments.no@supplier.local,Procurement Contact
Waverley Blankets,Corporate Wear,"122 Kelvin Road South,Graniteside,Harare",waverley.blankets@supplier.local,Procurement Contact
Elmala Sports,Corporate Wear,"2nd Floor,Causeway Building,Corner 4th St &Central Ave,Harare",elmala.sports@supplier.local,Procurement Contact
Faithwear Trading,Corporate Wear,"53 Eastern Road,Harare",faithwear.trading@supplier.local,Procurement Contact
Finemade Investments Shop,Corporate Wear,"58 ,block 3, Longcheng Plaza, Belvedere, harare",finemade.investments.shop@supplier.local,Procurement Contact
Safeguard security,Security,36 Telford Rd Graniteside,safeguard.security@supplier.local,Procurement Contact
Surburban security No,Security,"2 Brian Road, Logan Park Hatfield",surburban.security.no@supplier.local,Procurement Contact
Real Star Security,Security,"66 Mc Chlery Ave, Eastle . Harare",real.star.security@supplier.local,Procurement Contact
Only Italian Bay,Furniture,"21, 247 Williams Way Msasa Harare",only.italian.bay@supplier.local,Procurement Contact
Furnmore Std,Furniture,"1079 Tynwald Industries, Harare",furnmore.std@supplier.local,Procurement Contact
Milano,Furniture,"169 Sam Nujoma Street,/Churchill Ave, Belgravia, Harare",milano@supplier.local,Procurement Contact
TV sales and Home Edward Building cnr,Furniture,1st street & N.Mandela,tv.sales.and.home.edward.building.cnr@supplier.local,Procurement Contact
Aerospace Body,Furniture,"6577 Westlea,Industrial Park,Harare,Zimbabwe",aerospace.body@supplier.local,Procurement Contact
Bill Stock,Furniture,"33 Airdrie Road,Eastlea,Harare",bill.stock@supplier.local,Procurement Contact
Dawning Frame Std,Furniture,"1116 Tynwald Industries, Harare",dawning.frame.std@supplier.local,Procurement Contact
Mutare Mart & Exchange,Furniture,"42 Second Street, Mutare",mutare.mart.exchange@supplier.local,Procurement Contact
Softex,Health & Hygiene,202 Seke Road Graniteside. P.O. Box 3790 Harare,softex@supplier.local,Procurement Contact
William Scott & Co. Unit,Health & Hygiene,"14, No 247 Williams Way , Msasa",william.scott.co.unit@supplier.local,Procurement Contact
Cleancity,Health & Hygiene,"20 Northern Road, Harare, Zimbabwe",cleancity@supplier.local,Procurement Contact
Glamour Rentals,Health & Hygiene,"91 Harare Drive,Malborough,Harare.",glamour.rentals@supplier.local,Procurement Contact
Cleanlily,Cleaning Services,"5 Lincon Rd, Avondale, Harare",cleanlily@supplier.local,Procurement Contact
Nemchem,Cleaning Services,9 Spurrier Road Ardbennie Harare,nemchem@supplier.local,Procurement Contact
Comkwik Cleaning Solutions,Cleaning Services,"32 Blakeway Avenue Belvedere, Harare",comkwik.cleaning.solutions@supplier.local,Procurement Contact
Pest Hunters,Pest Control,"14 Louis Rd Greendale, Harare",pest.hunters@supplier.local,Procurement Contact
Pest Control,Pest Control,"13 Charles Olley Cres, Belvedere, Harare",pest.control@supplier.local,Procurement Contact
Reg Med Aress House,"Medicines, Doctors, Equipment & Medical Infrastructure","38 Corner Angwa & Silundika 1st Floor, Suit 4, Harare",reg.med.aress.house@supplier.local,Procurement Contact
Greenwood Pharmacy,"Medicines, Doctors, Equipment & Medical Infrastructure","11 Lisburn Road, Workington HARARE",greenwood.pharmacy@supplier.local,Procurement Contact
Investmed Healthcare,"Medicines, Doctors, Equipment & Medical Infrastructure","1st Floor Clover Building 82 Mutare Road, Msasa, Harare",investmed.healthcare@supplier.local,Procurement Contact
Nyaradzo Funeral Services,"Medicines, Doctors, Equipment & Medical Infrastructure",120 Herbert Chitepo Avenue. Harare,nyaradzo.funeral.services@supplier.local,Procurement Contact
Ruwa Rehabilitation Clinic Shop No,"Medicines, Doctors, Equipment & Medical Infrastructure","2, TM Complex Ruwa",ruwa.rehabilitation.clinic.shop.no@supplier.local,Procurement Contact
PSMI PVT LTD,"Medicines, Doctors, Equipment & Medical Infrastructure","56 Baines Avenue, Harare",psmi.pvt.ltd@supplier.local,Procurement Contact
St Johns Ambulance,"Medicines, Doctors, Equipment & Medical Infrastructure","102 Baines Avenue, Harare",st.johns.ambulance@supplier.local,Procurement Contact
Suburban Medical Centre,"Medicines, Doctors, Equipment & Medical Infrastructure","22 Cresent Warren Park 1, Harare",suburban.medical.centre@supplier.local,Procurement Contact
Medirite Healthcare Unit,"Medicines, Doctors, Equipment & Medical Infrastructure","3, 32 Shepperton Road,Graniteside, Harare",medirite.healthcare.unit@supplier.local,Procurement Contact
Nelspot Brands,"Medicines, Doctors, Equipment & Medical Infrastructure","18409 Mukuvisi Woodlands, Msasa. Harare",nelspot.brands@supplier.local,Procurement Contact
Health Pharm,"Medicines, Doctors, Equipment & Medical Infrastructure","51 Central Avenue, Harare",health.pharm@supplier.local,Procurement Contact
"Booties Pharmacies Shop number MK27,WestgateShopping Centre","Medicines, Doctors, Equipment & Medical Infrastructure",,booties.pharmacies.shop.number.mk27.westgateshopping.centre@supplier.local,Procurement Contact
Medlive Marketing,"Medicines, Doctors, Equipment & Medical Infrastructure","68 Lomagundi Drive,Emarald Hill,Harare",medlive.marketing@supplier.local,Procurement Contact
Bestzone Pharmacy,"Medicines, Doctors, Equipment & Medical Infrastructure","56 Nelson Mandela, Harare",bestzone.pharmacy@supplier.local,Procurement Contact
Promed Trading (Pvt) Ltd T/A First Care Pharmacy,"Medicines, Doctors, Equipment & Medical Infrastructure","2 Hermes court cnr Lomagundi and West road,Avondale West Harare",promed.trading.pvt.ltd.t.a.first.care.pharmacy@supplier.local,Procurement Contact
